,,,,,,,Frame,Cycle,Difference
"Dense		"," 1	","	54.85",85.23,,,Raw data,66.62,95.67,28.94
"Dense		"," 2	","	60.87",88.65,,,Handcrafted,85.25,90.9,3.95
,,,,,,Dense,57.86,86.94,31.47
"Conv-FCN	"," 1	","	81.84",88.45,,,Conv-FCN,83.73,89.89,6.63
"Conv-FCN	"," 2	","	85.62",91.33,,,Conv-Time,65.55,89.36,26.18
,,,,,,,,,
"Conv-Time	"," 1	","	62.49",88.13,,,,,,
"Conv-Time	"," 2	","	68.61",90.58,,,,,,
,,,,,,,,,
Handcrafted ,"1	",84.23,89.94,,,,,,
Handcrafted ,"2	",86.26,91.85,,,,,,
,,,,,,,,,
"Raw data 	","1	","	64.33  ",94.62,,,,,,
"Raw data 	","2	","	68.90  ",96.71,,,,,,
